"ORDEN","CLASE","MARCA","MODELO","FECHA MATRICULA/RADICACION","AÑO","MES","DIA"
"70","MOTOCICLETA","SUZUKI","2001","24/10/2000","2000","10.octubre","24.martes"
"71","AUTOMOVIL","CHEVROLET","1992","05/01/2000","2000","01.enero","05.miércoles"
"72","MOTOCICLETA","SUZUKI","1999","06/01/2000","2000","01.enero","06.jueves"
"73","MOTOCICLETA","SUZUKI","2000","26/05/2000","2000","05.mayo","26.viernes"
"74","MOTOCICLETA","YAMAHA","2000","10/04/2000","2000","04.abril","10.lunes"
"75","AUTOMOVIL","CHEVROLET","2000","09/02/2000","2000","02.febrero","09.miércoles"
"76","AUTOMOVIL","CHEVROLET","2000","05/01/2000","2000","01.enero","05.miércoles"
"77","AUTOMOVIL","RENAULT","2001","23/10/2000","2000","10.octubre","23.lunes"
"78","CAMION","MAZDA","2000","13/06/2000","2000","06.junio","13.martes"
"79","AUTOMOVIL","MAZDA","1990","31/10/2000","2000","10.octubre","31.martes"
"80","MOTOCICLETA","HONDA","2000","25/07/2000","2000","07.julio","25.martes"
"81","MOTOCICLETA","YAMAHA","1999","23/02/2000","2000","02.febrero","23.miércoles"
"82","AUTOMOVIL","MAZDA","1990","29/02/2000","2000","02.febrero","29.martes"
"83","AUTOMOVIL","CHEVROLET","1988","30/10/2000","2000","10.octubre","30.lunes"
"84","AUTOMOVIL","CHEVROLET","1993","04/01/2000","2000","01.enero","04.martes"
"85","MOTOCICLETA","YAMAHA","2000","03/03/2000","2000","03.marzo","03.viernes"
"86","MOTOCICLETA","HONDA","2000","27/03/2000","2000","03.marzo","27.lunes"
"87","AUTOMOVIL","CHEVROLET","1992","02/08/2000","2000","08.agosto","02.miércoles"
"88","AUTOMOVIL","CHEVROLET","1998","15/12/2000","2000","12.diciembre","15.viernes"
"89","MOTOCICLETA","SUZUKI","2000","11/12/2000","2000","12.diciembre","11.lunes"
"90","MOTOCICLETA","HONDA","2000","11/05/2000","2000","05.mayo","11.jueves"
"91","MOTOCICLETA","YAMAHA","2000","21/01/2000","2000","01.enero","21.viernes"
"92","MOTOCICLETA","YAMAHA","2000","29/08/2000","2000","08.agosto","29.martes"
"93","AUTOMOVIL","CHEVROLET","2000","14/04/2000","2000","04.abril","14.viernes"
"94","MOTOCICLETA","SUZUKI","2001","01/12/2000","2000","12.diciembre","01.viernes"
"95","MOTOCICLETA","HONDA","2000","06/01/2000","2000","01.enero","06.jueves"
"96","MOTOCICLETA","SUZUKI","2000","12/06/2000","2000","06.junio","12.lunes"
"97","AUTOMOVIL","RENAULT","2000","29/02/2000","2000","02.febrero","29.martes"
"98","AUTOMOVIL","MAZDA","1994","14/03/2000","2000","03.marzo","14.martes"
"99","CAMPERO","SUZUKI","1977","01/09/2000","2000","09.septiembre","01.viernes"
"100","MOTOCICLETA","YAMAHA","2001","24/10/2000","2000","10.octubre","24.martes"
"101","CAMPERO","MITSUBISHI","1999","06/07/2000","2000","07.julio","06.jueves"
"102","AUTOMOVIL","DAEWOO","2000","30/05/2000","2000","05.mayo","30.martes"
"103","MOTOCICLETA","AUTECO BAJAJ","1999","03/08/2000","2000","08.agosto","03.jueves"
"104","MOTOCICLETA","SUZUKI","2000","29/11/2000","2000","11.noviembre","29.miércoles"
"105","MOTOCICLETA","SUZUKI","2000","21/03/2000","2000","03.marzo","21.martes"
"106","MOTOCICLETA","HONDA","2001","23/11/2000","2000","11.noviembre","23.jueves"
"107","MOTOCICLETA","HONDA","2001","24/10/2000","2000","10.octubre","24.martes"
"108","MOTOCICLETA","YAMAHA","1996","18/09/2000","2000","09.septiembre","18.lunes"
"109","MOTOCICLETA","SUZUKI","1999","29/03/2000","2000","03.marzo","29.miércoles"
"110","MOTOCICLETA","SUZUKI","2000","03/03/2000","2000","03.marzo","03.viernes"
"111","MOTOCICLETA","SUZUKI","2000","07/01/2000","2000","01.enero","07.viernes"
"112","MOTOCICLETA","YAMAHA","2000","29/03/2000","2000","03.marzo","29.miércoles"
"113","CAMPERO","CHEVROLET","1996","08/02/2000","2000","02.febrero","08.martes"
"114","AUTOMOVIL","CHEVROLET","1993","05/01/2000","2000","01.enero","05.miércoles"
"115","AUTOMOVIL","RENAULT","2000","14/02/2000","2000","02.febrero","14.lunes"
"116","AUTOMOVIL","CHEVROLET","1996","07/09/2000","2000","09.septiembre","07.jueves"
"117","AUTOMOVIL","CHEVROLET","1995","15/12/2000","2000","12.diciembre","15.viernes"
"118","MOTOCICLETA","SUZUKI","2000","25/02/2000","2000","02.febrero","25.viernes"
"119","MOTOCICLETA","YAMAHA","1999","14/03/2000","2000","03.marzo","14.martes"
"120","AUTOMOVIL","CHEVROLET","1994","05/09/2000","2000","09.septiembre","05.martes"
"121","MOTOCICLETA","SUZUKI","2000","20/09/2000","2000","09.septiembre","20.miércoles"
"122","AUTOMOVIL","CHEVROLET","1993","07/04/2000","2000","04.abril","07.viernes"
"123","MOTOCICLETA","HONDA","2001","14/08/2000","2000","08.agosto","14.lunes"
"124","AUTOMOVIL","RENAULT","1989","10/02/2000","2000","02.febrero","10.jueves"
"125","AUTOMOVIL","CHEVROLET","2000","08/02/2000","2000","02.febrero","08.martes"
"126","AUTOMOVIL","RENAULT","2000","15/03/2000","2000","03.marzo","15.miércoles"
"127","AUTOMOVIL","RENAULT","2000","16/03/2000","2000","03.marzo","16.jueves"
"128","MOTOCICLETA","SUZUKI","2000","17/08/2000","2000","08.agosto","17.jueves"
"129","AUTOMOVIL","CHEVROLET","1990","27/01/2000","2000","01.enero","27.jueves"
"130","MOTOCICLETA","SUZUKI","1999","27/01/2000","2000","01.enero","27.jueves"
"131","MOTOCICLETA","SUZUKI","2000","25/07/2000","2000","07.julio","25.martes"
"132","AUTOMOVIL","MAZDA","2000","11/01/2000","2000","01.enero","11.martes"
"133","MOTOCICLETA","HONDA","2000","24/07/2000","2000","07.julio","24.lunes"
"134","CAMIONETA","MAZDA","2000","17/04/2000","2000","04.abril","17.lunes"
"135","AUTOMOVIL","CHEVROLET","1995","18/05/2000","2000","05.mayo","18.jueves"
"136","MOTOCICLETA","SUZUKI","2000","10/02/2000","2000","02.febrero","10.jueves"
"137","AUTOMOVIL","RENAULT","2000","15/02/2000","2000","02.febrero","15.martes"
"138","AUTOMOVIL","CHEVROLET","2001","07/11/2000","2000","11.noviembre","07.martes"
"139","MOTOCICLETA","YAMAHA","2000","27/01/2000","2000","01.enero","27.jueves"
"140","AUTOMOVIL","MAZDA","1996","17/05/2000","2000","05.mayo","17.miércoles"
"141","AUTOMOVIL","CHEVROLET","2001","23/10/2000","2000","10.octubre","23.lunes"
"142","AUTOMOVIL","MAZDA","1988","31/10/2000","2000","10.octubre","31.martes"
"143","CAMIONETA","CHEVROLET","1998","18/05/2000","2000","05.mayo","18.jueves"
"144","AUTOMOVIL","CHEVROLET","1991","25/09/2000","2000","09.septiembre","25.lunes"
"145","AUTOMOVIL","DAEWOO","2001","31/08/2000","2000","08.agosto","31.jueves"
"146","CAMIONETA","TOYOTA","1995","29/08/2000","2000","08.agosto","29.martes"
"147","MOTOCICLETA","SUZUKI","2001","20/11/2000","2000","11.noviembre","20.lunes"
"148","AUTOMOVIL","RENAULT","2001","10/10/2000","2000","10.octubre","10.martes"
"149","AUTOMOVIL","RENAULT","2000","10/02/2000","2000","02.febrero","10.jueves"
"150","AUTOMOVIL","MAZDA","1990","25/09/2000","2000","09.septiembre","25.lunes"
"151","AUTOMOVIL","MAZDA","1994","07/06/2000","2000","06.junio","07.miércoles"
"152","CAMPERO","CHEVROLET","2000","29/02/2000","2000","02.febrero","29.martes"
"153","AUTOMOVIL","RENAULT","2001","08/11/2000","2000","11.noviembre","08.miércoles"
"154","AUTOMOVIL","RENAULT","2000","19/07/2000","2000","07.julio","19.miércoles"
"155","MOTOCICLETA","HONDA","2001","15/11/2000","2000","11.noviembre","15.miércoles"
"156","MOTOCICLETA","HONDA","2001","04/10/2000","2000","10.octubre","04.miércoles"
"157","AUTOMOVIL","CHEVROLET","2000","17/07/2000","2000","07.julio","17.lunes"
"158","AUTOMOVIL","RENAULT","1993","10/04/2000","2000","04.abril","10.lunes"
"159","AUTOMOVIL","CHEVROLET","2000","14/03/2000","2000","03.marzo","14.martes"
"160","MICROBUS","HYUNDAI","1999","18/04/2000","2000","04.abril","18.martes"
"161","CAMPERO","CHEVROLET","1994","19/09/2000","2000","09.septiembre","19.martes"
"162","AUTOMOVIL","MAZDA","1988","03/11/2000","2000","11.noviembre","03.viernes"
"163","MOTOCICLETA","YAMAHA","2000","18/05/2000","2000","05.mayo","18.jueves"
"164","CAMPERO","FORD","1998","31/10/2000","2000","10.octubre","31.martes"
"165","AUTOMOVIL","MAZDA","1986","08/02/2000","2000","02.febrero","08.martes"
"166","MOTOCICLETA","YAMAHA","1997","18/09/2000","2000","09.septiembre","18.lunes"
